Clave,Nombre,Alcaldía o municipio,Entidad,Monitorea_Contingencia,Ya_activó_contingencias,objetivo05RAMA
ACO,Acolman,Acolman,Estado de México,0,No activa contingencias,
AJM,Ajusco Medio,Tlalpan,CDMX,1,Ya_activó,Si
AJU,Ajusco,Tlalpan,CDMX,0,Ya_activó,
ATI,Atizapán,Atizapán de Zaragoza,Estado de México,1,,Si
BJU,Benito Juarez,Benito Juárez,CDMX,1,Ya_activó,Si
CAM,Camarones,Azcapotzalco,CDMX,1,Ya_activó,Si
CCA,Centro de Ciencias de la Atmósfera,Coyoacán,CDMX,1,Ya_activó,Si
CHO,Chalco,Chalco,Estado de México,1,,Si
COR,CORENA,Xochimilco,CDMX,0,No activa contingencias,No
CUA,Cuajimalpa,Cuajimalpa de Morelos,CDMX,1,Ya_activó,Si
CUT,Cuautitlán,Cuautitlán Izcalli,Estado de México,1,,Si
DIC,Diconsa,Tlalpan,CDMX,0,No activa contingencias,
EAC,,,,1,,Si
EAJ,Ecoguardas Ajusco,Tlalpan,CDMX,0,No activa contingencias,
EDL,Ex Convento Desierto de los Leones,Cuajimalpa de Morelos,CDMX,0,No activa contingencias,
FAC,FES Acatlán,Naucalpan de Juárez,Estado de México,0,Ya_activó,
FAR,FES Aragón,Nezahualcóyotl,Estado de México,1,,Si
GAM,Gustavo A. Madero,Gustavo A. Madero,CDMX,1,Ya_activó,Si
HGM,Hospital General de México,Cuauhtémoc,CDMX,1,,Si
IBM,Legaria,Miguel Hidalgo,CDMX,0,No activa contingencias,
INN,Investigaciones Nucleares,Ocoyoacac,Estado de México,0,No activa contingencias,No
IZT,Iztacalco,Iztacalco,CDMX,1,,Si
LAA,Laboratorio de Análisis Ambiental,Gustavo A. Madero,CDMX,0,No activa contingencias,Si
LLA,Los Laureles,Ecatepec de Morelos,Estado de México,1,,
LOM,Lomas,Miguel Hidalgo,CDMX,0,No activa contingencias,
LPR,La Presa,Tlalnepantla de Baz,Estado de México,0,No activa contingencias,
MCM,Museo de la Ciudad de México,Cuauhtémoc,CDMX,0,No activa contingencias,
MER,Merced,Venustiano Carranza,CDMX,1,,
MGH,Miguel Hidalgo,Miguel Hidalgo,CDMX,1,Ya_activó,
MON,Montecillo,Texcoco,Estado de México,0,No activa contingencias,
MPA,Milpa Alta,Milpa Alta,CDMX,0,No activa contingencias,
NEZ,Nezahualcóyotl,Nezahualcóyotl,Estado de México,1,Ya_activó,
PED,Pedregal,Álvaro Obregón,CDMX,1,Ya_activó,
SAC,Santiago Acahualtepec,Iztapalapa,CDMX,1,Ya_activó,
SAG,San Agustín,Ecatepec de Morelos,Estado de México,1,Ya_activó,
SFE,Santa Fe,Cuajimalpa de Morelos,CDMX,1,Ya_activó,
SNT,San Nicolás Totolapan,La Magdalena Contreras,CDMX,0,No activa contingencias,
TAH,Tláhuac,Xochimilco,CDMX,1,Ya_activó,
TEC,Cerro del Tepeyac,Gustavo A. Madero,CDMX,0,No activa contingencias,
TLA,Tlalnepantla,Tlalnepantla de Baz,Estado de México,1,,
TLI,Tultitlán,Tultitlán,Estado de México,1,Ya_activó,
UAX,UAM Xochimilco,Coyoacán,CDMX,1,,
UIZ,UAM Iztapalapa,Iztapalapa,CDMX,1,,
VIF,Villa de las Flores,Coacalco de Berriozábal,Estado de México,1,Ya_activó,
XAL,Xalostoc,Ecatepec de Morelos,Estado de México,0,Ya_activó,
